Rank,Team,2003,Last 3,Last 1,Home,Away,2002
1,Indiana,0.725,0.33299999999999996,0.0,0.816,0.633,--
2,San Antonio,0.685,0.0,0.0,0.804,0.565,--
3,Minnesota,0.68,0.33299999999999996,0.0,0.765,0.5920000000000001,--
4,Detroit,0.667,1.0,1.0,0.759,0.569,--
5,LA Lakers,0.6629999999999999,0.0,0.0,0.846,0.48100000000000004,--
6,Sacramento,0.66,0.33299999999999996,0.0,0.83,0.489,--
7,Dallas,0.609,0.33299999999999996,0.0,0.861,0.364,--
8,Memphis,0.581,0.0,0.0,0.721,0.442,--
9,Brooklyn,0.581,0.33299999999999996,0.0,0.696,0.46799999999999997,--
10,Houston,0.529,0.33299999999999996,0.0,0.6509999999999999,0.409,--
11,Utah,0.512,0.33299999999999996,0.0,0.6829999999999999,0.342,--
12,Denver,0.506,0.33299999999999996,0.0,0.698,0.318,--
13,Miami,0.505,0.33299999999999996,0.0,0.7290000000000001,0.27699999999999997,--
14,Portland,0.5,0.0,0.0,0.61,0.39,--
15,New Orleans,0.494,0.33299999999999996,0.0,0.636,0.35600000000000004,--
16,Milwaukee,0.483,0.0,0.0,0.628,0.341,--
17,New York,0.45399999999999996,0.0,0.0,0.535,0.37200000000000005,--
18,Golden State,0.451,0.667,1.0,0.6579999999999999,0.244,--
19,Okla City,0.451,0.667,1.0,0.5,0.405,--
20,Cleveland,0.42700000000000005,1.0,1.0,0.561,0.293,--
21,Boston,0.419,0.0,0.0,0.442,0.395,--
22,Philadelphia,0.402,0.0,0.0,0.512,0.293,--
23,Toronto,0.402,0.667,1.0,0.439,0.366,--
24,Phoenix,0.354,0.667,1.0,0.439,0.268,--
25,Atlanta,0.342,0.667,0.0,0.439,0.244,--
26,LA Clippers,0.342,0.33299999999999996,0.0,0.45,0.23800000000000002,--
27,Washington,0.305,0.0,0.0,0.415,0.195,--
28,Chicago,0.281,0.33299999999999996,0.0,0.342,0.22,--
29,Orlando,0.256,0.667,1.0,0.268,0.244,--
