Year,Team,Win %,Last 3 Games Win %,Last Game Win %,Home,Away
2004,Indiana,0.725,0.333,0.0,0.816,0.633
2004,San Antonio,0.685,0.0,0.0,0.804,0.565
2004,Minnesota,0.68,0.333,0.0,0.765,0.5920000000000001
2004,Detroit,0.667,1.0,1.0,0.759,0.569
2004,LA Lakers,0.6629999999999999,0.0,0.0,0.846,0.481
2004,Sacramento,0.66,0.333,0.0,0.83,0.489
2004,Dallas,0.609,0.333,0.0,0.861,0.364
2004,Memphis,0.581,0.0,0.0,0.721,0.442
2004,Brooklyn,0.581,0.333,0.0,0.696,0.468
2004,Houston,0.529,0.333,0.0,0.6509999999999999,0.409
2004,Utah,0.512,0.333,0.0,0.6829999999999999,0.342
2004,Denver,0.506,0.333,0.0,0.698,0.318
2004,Miami,0.505,0.333,0.0,0.7290000000000001,0.277
2004,Portland,0.5,0.0,0.0,0.61,0.39
2004,New Orleans,0.494,0.333,0.0,0.636,0.35600000000000004
2004,Milwaukee,0.483,0.0,0.0,0.628,0.341
2004,New York,0.454,0.0,0.0,0.535,0.3720000000000001
2004,Golden State,0.451,0.667,1.0,0.6579999999999999,0.244
2004,Okla City,0.451,0.667,1.0,0.5,0.405
2004,Cleveland,0.4270000000000001,1.0,1.0,0.561,0.293
2004,Boston,0.419,0.0,0.0,0.442,0.395
2004,Philadelphia,0.402,0.0,0.0,0.512,0.293
2004,Toronto,0.402,0.667,1.0,0.439,0.366
2004,Phoenix,0.354,0.667,1.0,0.439,0.268
2004,Atlanta,0.342,0.667,0.0,0.439,0.244
2004,LA Clippers,0.342,0.333,0.0,0.45,0.238
2004,Washington,0.305,0.0,0.0,0.415,0.195
2004,Chicago,0.281,0.333,0.0,0.342,0.22
2004,Orlando,0.256,0.667,1.0,0.268,0.244
