Year,Team,2009,Last 3 Games Win %,Last Game Win %,Home,Away
2010,Cleveland,0.72,0.0,0.0,0.83,0.609
2010,Orlando,0.7190000000000001,0.667,0.0,0.812,0.625
2010,LA Lakers,0.695,0.667,1.0,0.8490000000000001,0.5379999999999999
2010,Phoenix,0.653,0.333,0.0,0.775,0.531
2010,Dallas,0.648,0.333,0.0,0.682,0.614
2010,Denver,0.625,0.333,0.0,0.818,0.4320000000000001
2010,Utah,0.62,0.0,0.0,0.7609999999999999,0.478
2010,Boston,0.613,0.333,0.0,0.623,0.604
2010,Atlanta,0.613,0.0,0.0,0.787,0.435
2010,Portland,0.591,0.333,0.0,0.614,0.568
2010,Okla City,0.591,0.333,0.0,0.659,0.523
2010,San Antonio,0.5870000000000001,0.0,0.0,0.696,0.478
2010,Miami,0.552,0.333,0.0,0.581,0.523
2010,Milwaukee,0.551,0.333,0.0,0.682,0.422
2010,Houston,0.512,0.333,0.0,0.561,0.463
2010,Charlotte,0.512,0.0,0.0,0.721,0.302
2010,Toronto,0.488,0.667,1.0,0.61,0.366
2010,Memphis,0.488,0.0,0.0,0.561,0.415
2010,Chicago,0.483,0.333,0.0,0.581,0.386
2010,New Orleans,0.451,0.667,1.0,0.585,0.317
2010,Indiana,0.39,0.333,0.0,0.561,0.22
2010,LA Clippers,0.354,0.667,1.0,0.512,0.195
2010,New York,0.354,0.333,0.0,0.439,0.268
2010,Detroit,0.329,0.333,1.0,0.415,0.244
2010,Philadelphia,0.329,0.333,0.0,0.293,0.366
2010,Golden State,0.317,0.667,1.0,0.439,0.195
2010,Washington,0.317,0.333,1.0,0.366,0.268
2010,Sacramento,0.301,0.0,0.0,0.429,0.171
2010,Minnesota,0.183,0.0,0.0,0.244,0.122
2010,Brooklyn,0.146,0.0,0.0,0.195,0.098
